,Symbol,Date,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2
1,SBIN,24-Jan-2018,Buy,329.9,332.75,332.75,311.85,313.15,313.15,316.9,311.0,312.1
2,SBIN,02-Feb-2018,Sell,297.35,292.65,300.4,290.0,298.05,285.0,297.3,282.9,291.75
3,SBIN,23-May-2018,Buy,263.2,263.85,269.7,260.65,268.5,267.8,268.4,262.55,266.95
4,SBIN,02-Jul-2018,Sell,258.85,259.6,260.9,256.4,257.5,255.75,258.35,254.5,257.45
5,SBIN,25-Jul-2018,Buy,271.85,275.1,289.4,274.2,287.7,289.5,297.0,285.1,286.75
6,SBIN,11-Sep-2018,Sell,282.6,284.0,286.7,280.0,285.3,290.1,291.8,288.7,290.65
7,SBIN,02-Nov-2018,Buy,285.35,286.45,300.0,283.5,294.95,296.1,298.3,283.9,286.45
8,SBIN,10-Dec-2018,Sell,274.2,268.35,283.25,268.35,281.25,283.75,285.85,282.2,285.25
9,SBIN,11-Dec-2018,Buy,281.25,283.75,285.85,282.2,285.25,290.0,294.0,285.75,289.0
